,GS,IP,H,R,ER,BB,SO,HR,HBP,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Date,Team,Home_Away
0,7.0,57.5,69.0,42.0,41.0,38.0,63.0,9.0,4.0,242.0,14.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,286.0,2022-04-14,WSN,0
0,5.0,43.2,43.0,22.0,16.0,22.0,36.0,4.0,1.0,170.0,7.0,1.0,2.0,4.0,5.0,2.0,3.0,0.0,199.0,2022-04-13,ARI,1
0,6.0,49.5,44.0,32.0,30.0,20.0,45.0,11.0,1.0,203.0,7.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,224.0,2022-04-14,LAA,0
0,7.0,59.4,47.0,20.0,18.0,18.0,69.0,7.0,5.0,238.0,12.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,264.0,2022-04-14,NYA,0
0,6.0,46.8,49.0,24.0,21.0,22.0,41.0,2.0,0.0,192.0,12.0,2.0,0.0,7.0,4.0,2.0,3.0,0.0,218.0,2022-04-13,BAL,1
0,7.0,56.400000000000006,45.0,30.0,28.0,21.0,63.0,7.0,7.0,223.0,8.0,2.0,0.0,7.0,1.0,2.0,1.0,0.0,253.0,2022-04-14,PHI,0
0,7.0,57.0,56.0,35.0,29.0,28.0,79.0,8.0,4.0,242.0,12.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,274.0,2022-04-14,TBA,0
0,7.0,58.199999999999996,47.0,25.0,25.0,22.0,70.0,7.0,2.0,220.0,10.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,246.0,2022-04-14,SDN,0
0,6.0,48.5,37.0,18.0,16.0,13.0,59.0,4.0,2.0,185.0,7.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,204.0,2022-04-13,NYN,1
0,6.0,50.8,45.0,16.0,16.0,18.0,63.0,3.0,3.0,204.0,8.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,226.0,2022-04-13,SFN,1
0,6.0,50.8,48.0,21.0,18.0,17.0,45.0,3.0,3.0,205.0,7.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,226.0,2022-04-14,COL,0
0,7.0,59.5,63.0,36.0,30.0,17.0,39.0,5.0,1.0,245.0,20.0,3.0,1.0,2.0,3.0,5.0,0.0,0.0,269.0,2022-04-14,DET,0
0,7.0,56.199999999999996,48.0,28.0,23.0,20.0,61.0,13.0,2.0,221.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,244.0,2022-04-14,SEA,0
0,6.0,46.70000000000001,48.0,26.0,24.0,19.0,57.0,9.0,4.0,202.0,9.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,227.0,2022-04-13,BOS,1
0,6.0,49.2,37.0,20.0,16.0,14.0,54.0,5.0,4.0,193.0,9.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,212.0,2022-04-14,LAN,0
0,6.0,47.8,39.0,23.0,21.0,21.0,54.0,6.0,1.0,187.0,10.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,211.0,2022-04-14,MIA,0
0,6.0,49.0,39.0,19.0,18.0,26.0,61.0,6.0,3.0,196.0,6.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,225.0,2022-04-14,CHA,0
0,6.0,50.2,60.0,35.0,32.0,19.0,58.0,11.0,8.0,208.0,15.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,239.0,2022-04-14,TEX,0
0,6.0,45.4,61.0,38.0,38.0,25.0,50.0,9.0,5.0,203.0,13.0,2.0,0.0,4.0,4.0,3.0,3.0,0.0,237.0,2022-04-14,CIN,0
0,6.0,51.900000000000006,43.0,24.0,24.0,31.0,48.0,7.0,2.0,203.0,12.0,1.0,0.0,2.0,2.0,6.0,0.0,1.0,238.0,2022-04-13,MIN,1
0,5.0,41.5,34.0,19.0,16.0,11.0,36.0,4.0,5.0,163.0,7.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,179.0,2022-04-13,CLE,1
0,5.0,41.2,33.0,14.0,14.0,17.0,41.0,5.0,2.0,159.0,5.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,178.0,2022-04-14,CHN,0
0,4.0,32.9,41.0,21.0,21.0,12.0,34.0,5.0,0.0,143.0,9.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,156.0,2022-04-14,SLN,0
0,6.0,47.8,37.0,22.0,20.0,29.0,57.0,3.0,5.0,188.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,227.0,2022-04-14,MIL,0
0,5.0,39.4,59.0,37.0,37.0,14.0,40.0,6.0,3.0,185.0,8.0,3.0,0.0,6.0,1.0,1.0,0.0,0.0,204.0,2022-04-14,KCR,0
0,5.0,41.900000000000006,39.0,18.0,18.0,17.0,41.0,5.0,1.0,162.0,7.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,183.0,2022-04-14,PIT,0
0,6.0,47.599999999999994,41.0,18.0,17.0,17.0,53.0,4.0,1.0,188.0,12.0,1.0,0.0,5.0,2.0,3.0,2.0,1.0,208.0,2022-04-15,MIA,0
0,7.0,55.6,57.0,25.0,23.0,23.0,55.0,10.0,2.0,237.0,14.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,262.0,2022-04-15,OAK,0
0,6.0,48.5,35.0,18.0,16.0,17.0,61.0,4.0,2.0,184.0,9.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,206.0,2022-04-15,NYN,0
0,6.0,51.2,62.0,34.0,31.0,16.0,62.0,14.0,8.0,213.0,14.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,241.0,2022-04-15,TEX,0
0,6.0,47.1,48.0,28.0,28.0,23.0,55.0,7.0,4.0,197.0,12.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,225.0,2022-04-15,BOS,0
0,6.0,48.4,42.0,23.0,18.0,15.0,45.0,7.0,6.0,199.0,9.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,220.0,2022-04-15,CLE,0
0,7.0,58.2,61.0,37.0,36.0,34.0,63.0,8.0,3.0,237.0,12.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0,275.0,2022-04-15,WSN,0
0,7.0,57.400000000000006,55.0,37.0,31.0,25.0,71.0,8.0,3.0,239.0,12.0,1.0,1.0,4.0,0.0,4.0,1.0,1.0,267.0,2022-04-15,TBA,0
0,7.0,56.8,55.0,27.0,26.0,20.0,60.0,7.0,2.0,229.0,12.0,0.0,0.0,6.0,2.0,3.0,0.0,1.0,253.0,2022-04-15,TOR,0
0,6.0,48.5,44.0,20.0,20.0,19.0,50.0,7.0,2.0,193.0,9.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,214.0,2022-04-15,CHN,0
0,6.0,51.2,39.0,12.0,12.0,17.0,67.0,1.0,4.0,193.0,10.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,216.0,2022-04-15,SFN,0
0,7.0,57.5,54.0,30.0,30.0,25.0,71.0,8.0,2.0,226.0,12.0,0.0,0.0,9.0,2.0,3.0,0.0,0.0,255.0,2022-04-15,SDN,0
0,7.0,58.5,63.0,39.0,34.0,21.0,67.0,6.0,4.0,245.0,13.0,0.0,0.0,3.0,2.0,6.0,1.0,1.0,273.0,2022-04-15,ATL,0
0,5.0,42.199999999999996,44.0,29.0,23.0,23.0,31.0,7.0,2.0,170.0,6.0,1.0,1.0,3.0,7.0,4.0,2.0,0.0,202.0,2022-04-15,ARI,0
0,6.0,46.1,60.0,34.0,34.0,24.0,49.0,9.0,6.0,201.0,12.0,4.0,0.0,3.0,3.0,6.0,4.0,0.0,234.0,2022-04-15,CIN,0
0,7.0,59.300000000000004,44.0,17.0,15.0,25.0,67.0,6.0,4.0,235.0,11.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,268.0,2022-04-15,NYA,0
0,6.0,50.1,53.0,21.0,18.0,19.0,41.0,3.0,2.0,206.0,11.0,0.0,1.0,7.0,2.0,0.0,1.0,2.0,229.0,2022-04-15,COL,0
0,7.0,56.2,49.0,28.0,23.0,16.0,63.0,12.0,2.0,223.0,6.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,242.0,2022-04-15,SEA,0
0,5.0,41.199999999999996,47.0,22.0,22.0,14.0,42.0,5.0,1.0,176.0,9.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,192.0,2022-04-15,SLN,0
0,7.0,56.8,51.0,32.0,30.0,34.0,64.0,5.0,6.0,228.0,8.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,273.0,2022-04-15,MIL,0
0,7.0,58.8,60.0,33.0,26.0,14.0,47.0,4.0,1.0,244.0,18.0,3.0,1.0,1.0,3.0,5.0,0.0,0.0,265.0,2022-04-15,DET,0
0,5.0,40.300000000000004,36.0,18.0,17.0,28.0,42.0,5.0,5.0,156.0,6.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,194.0,2022-04-15,HOU,0
0,6.0,49.2,35.0,18.0,14.0,14.0,48.0,5.0,5.0,190.0,6.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,210.0,2022-04-15,LAN,0
0,6.0,51.900000000000006,46.0,26.0,26.0,24.0,50.0,8.0,1.0,206.0,14.0,1.0,0.0,2.0,2.0,6.0,0.0,1.0,233.0,2022-04-15,MIN,0
0,6.0,49.5,38.0,25.0,23.0,22.0,47.0,5.0,2.0,197.0,5.0,0.0,3.0,3.0,1.0,4.0,1.0,0.0,222.0,2022-04-15,LAA,0
0,6.0,49.80000000000001,37.0,16.0,15.0,24.0,63.0,5.0,1.0,195.0,7.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,220.0,2022-04-15,CHA,0
0,6.0,48.4,62.0,39.0,39.0,16.0,47.0,7.0,3.0,215.0,9.0,3.0,0.0,6.0,1.0,1.0,0.0,0.0,236.0,2022-04-15,KCR,0
0,6.0,49.099999999999994,48.0,23.0,20.0,21.0,45.0,2.0,1.0,199.0,13.0,2.0,0.0,9.0,2.0,2.0,3.0,0.0,223.0,2022-04-15,BAL,0
0,6.0,50.2,49.0,25.0,25.0,23.0,46.0,5.0,2.0,197.0,9.0,0.0,0.0,6.0,3.0,2.0,1.0,1.0,225.0,2022-04-15,PIT,0
0,7.0,56.10000000000001,50.0,32.0,31.0,25.0,60.0,5.0,7.0,221.0,11.0,4.0,0.0,7.0,3.0,3.0,1.0,0.0,257.0,2022-04-15,PHI,0
0,6.0,48.4,41.0,26.0,22.0,18.0,51.0,7.0,6.0,200.0,10.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,224.0,2022-04-16,CLE,1
0,7.0,56.8,55.0,31.0,30.0,21.0,61.0,9.0,2.0,229.0,14.0,0.0,0.0,6.0,2.0,5.0,0.0,1.0,254.0,2022-04-16,TOR,1
0,6.0,49.5,31.0,17.0,13.0,15.0,50.0,4.0,4.0,188.0,5.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,208.0,2022-04-16,LAN,1
0,7.0,56.5,62.0,38.0,36.0,32.0,62.0,7.0,2.0,235.0,11.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,270.0,2022-04-16,WSN,1
0,5.0,42.0,33.0,16.0,15.0,23.0,40.0,3.0,6.0,158.0,5.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,191.0,2022-04-16,HOU,1
0,7.0,55.5,53.0,29.0,24.0,17.0,56.0,11.0,1.0,226.0,8.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,246.0,2022-04-16,SEA,1
0,6.0,52.2,65.0,37.0,34.0,18.0,65.0,15.0,6.0,220.0,13.0,1.0,0.0,6.0,3.0,4.0,0.0,0.0,248.0,2022-04-16,TEX,1
0,6.0,48.10000000000001,49.0,24.0,24.0,24.0,60.0,5.0,4.0,199.0,13.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,228.0,2022-04-16,BOS,1
0,7.0,58.5,58.0,31.0,24.0,16.0,48.0,4.0,1.0,239.0,16.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,261.0,2022-04-16,DET,1
0,6.0,47.599999999999994,47.0,27.0,24.0,20.0,51.0,4.0,2.0,194.0,14.0,1.0,0.0,5.0,4.0,4.0,2.0,1.0,220.0,2022-04-16,MIA,1
