,Date,Team,IP_Pitch,H_Pitch,R_Pitch,ER_Pitch,BB_Pitch,SO_Pitch,HR_Pitch,HBP_Pitch,AB_Pitch,2B_Pitch,3B_Pitch,IBB_Pitch,SB_Pitch,CS_Pitch,PO_Pitch,BF_Pitch,GB/FB_Pitch,PA_Bat,AB_Bat,R_Bat,H_Bat,2B_Bat,3B_Bat,HR_Bat,RBI_Bat,BB_Bat,IBB_Bat,SO_Bat,HBP_Bat,SH_Bat,SF_Bat,GDP_Bat,SB_Bat,CS_Bat,Games
0,2022-04-23,SDN,124.0,93.0,45.0,45.0,44.0,132.0,17.0,4.0,447.0,19.0,0.0,0.0,5.0,0.0,0.0,499.0,28.450000000000003,523,450,60,103,22,2,12,57,55,2,131,10,2,6,8,9,3,14
0,2022-04-23,ARI,115.0,101.0,57.0,45.0,47.0,87.0,12.0,5.0,424.0,18.0,1.0,4.0,6.0,4.0,0.0,491.0,25.909999999999997,486,419,38,77,19,0,13,37,54,2,129,6,2,5,5,6,3,12
0,2022-04-23,SEA,122.0,97.0,48.0,38.0,35.0,114.0,17.0,4.0,449.0,18.0,1.0,0.0,5.0,2.0,0.0,493.0,20.809999999999995,528,457,59,103,20,3,15,58,62,0,110,7,0,2,8,8,1,14
0,2022-04-23,NYN,126.0,85.0,41.0,39.0,39.0,144.0,11.0,4.0,450.0,18.0,0.0,2.0,4.0,3.0,1.0,498.0,26.03,539,466,68,117,19,2,15,65,55,0,104,9,3,6,6,11,3,13
0,2022-04-23,CLE,107.0,81.0,44.0,36.0,32.0,97.0,11.0,7.0,392.0,18.0,0.0,0.0,9.0,1.0,0.0,432.0,23.94,471,423,68,120,25,6,12,67,35,0,102,6,2,5,8,5,3,11
0,2022-04-23,BOS,125.0,107.0,56.0,53.0,54.0,131.0,16.0,7.0,465.0,16.0,0.0,3.0,7.0,2.0,1.0,532.0,26.32,514,469,54,112,30,0,11,54,31,3,114,4,2,8,12,1,1,14
0,2022-04-23,WSN,130.0,133.0,78.0,73.0,64.0,129.0,15.0,6.0,507.0,24.0,3.0,1.0,7.0,5.0,2.0,583.0,30.83,552,489,56,111,22,0,8,55,47,2,115,6,3,4,9,1,3,14
0,2022-04-23,MIA,113.0,90.0,47.0,39.0,39.0,112.0,10.0,5.0,419.0,24.0,2.0,1.0,9.0,3.0,3.0,467.0,24.35,481,425,45,96,14,5,11,42,44,1,121,8,0,4,9,3,1,13
0,2022-04-23,PHI,121.0,110.0,69.0,65.0,49.0,117.0,11.0,13.0,452.0,24.0,6.0,1.0,4.0,2.0,0.0,525.0,31.439999999999998,522,462,61,120,28,1,15,60,45,0,113,8,1,6,14,2,0,14
0,2022-04-23,COL,109.0,115.0,53.0,48.0,37.0,80.0,10.0,5.0,420.0,24.0,2.0,2.0,0.0,1.0,4.0,466.0,25.830000000000002,461,408,62,115,27,2,12,57,35,0,94,9,3,6,8,3,2,12
0,2022-04-23,TOR,123.0,106.0,53.0,51.0,37.0,110.0,13.0,5.0,459.0,23.0,0.0,0.0,6.0,0.0,2.0,506.0,30.520000000000003,519,469,56,117,22,0,18,55,35,3,123,8,1,5,7,7,2,14
0,2022-04-23,CHA,112.67,97.0,53.0,45.0,48.0,123.0,8.0,5.0,426.0,21.0,2.0,1.0,7.0,2.0,3.0,483.0,28.39,452,419,44,89,20,1,11,40,28,0,95,2,1,2,4,9,1,12
0,2022-04-23,SFN,125.33,105.0,37.0,35.0,41.0,125.0,6.0,4.0,461.0,22.0,2.0,0.0,4.0,2.0,0.0,511.0,32.92,519,466,62,105,22,0,15,56,46,1,132,4,0,3,9,9,2,13
0,2022-04-23,TEX,114.0,119.0,76.0,72.0,54.0,122.0,23.0,11.0,441.0,24.0,2.0,0.0,11.0,2.0,3.0,513.0,33.09,504,451,69,108,19,0,13,64,44,2,98,3,0,6,4,8,4,13
0,2022-04-23,ATL,121.0,98.0,62.0,57.0,49.0,132.0,12.0,7.0,457.0,18.0,1.0,0.0,8.0,1.0,1.0,518.0,21.49,508,454,54,108,32,0,15,51,44,0,114,6,0,4,14,2,1,14
0,2022-04-23,DET,107.0,95.0,49.0,39.0,30.0,80.0,7.0,1.0,408.0,25.0,3.0,1.0,10.0,1.0,0.0,447.0,23.619999999999997,431,376,36,79,16,2,6,36,47,1,105,5,0,3,10,1,3,12
0,2022-04-23,HOU,105.33,94.0,51.0,44.0,45.0,101.0,9.0,9.0,392.0,20.0,1.0,1.0,5.0,6.0,0.0,454.0,18.560000000000002,440,390,41,77,14,1,12,40,41,2,91,4,1,3,8,3,3,12
0,2022-04-23,CIN,108.0,117.0,75.0,74.0,60.0,103.0,14.0,10.0,419.0,24.0,4.0,1.0,10.0,5.0,0.0,496.0,24.54,454,411,33,72,15,0,8,32,35,0,126,6,0,1,5,4,2,13
0,2022-04-23,LAA,114.0,89.0,58.0,55.0,41.0,107.0,15.0,3.0,431.0,14.0,0.0,3.0,9.0,3.0,0.0,478.0,23.740000000000002,495,435,67,114,22,1,17,63,49,1,131,4,3,4,8,11,8,13
0,2022-04-23,OAK,131.67,121.0,58.0,53.0,47.0,123.0,15.0,5.0,499.0,29.0,2.0,4.0,1.0,4.0,4.0,555.0,29.549999999999997,546,498,67,108,23,1,14,59,40,1,138,6,0,2,9,8,0,15
0,2022-04-23,CHN,111.0,106.0,57.0,56.0,45.0,113.0,15.0,2.0,421.0,22.0,5.0,0.0,7.0,3.0,2.0,470.0,24.580000000000002,476,417,55,104,24,2,10,51,49,2,107,6,1,3,16,2,2,13
0,2022-04-23,SLN,96.0,88.0,37.0,35.0,32.0,95.0,9.0,4.0,367.0,15.0,1.0,1.0,7.0,0.0,0.0,405.0,20.549999999999997,411,367,45,87,16,1,10,43,35,0,83,5,1,2,9,7,1,11
0,2022-04-23,KCR,98.0,96.0,48.0,47.0,33.0,82.0,7.0,4.0,372.0,15.0,5.0,0.0,2.0,0.0,0.0,412.0,19.479999999999997,377,353,29,76,9,3,9,27,21,0,74,3,0,0,9,8,1,11
0,2022-04-23,LAN,114.0,79.0,33.0,29.0,30.0,122.0,8.0,6.0,418.0,21.0,0.0,0.0,6.0,2.0,0.0,455.0,26.39,495,430,70,109,19,4,14,65,57,0,106,3,0,5,7,13,1,13
0,2022-04-23,BAL,122.0,109.0,46.0,38.0,42.0,109.0,6.0,3.0,453.0,23.0,2.0,0.0,4.0,4.0,0.0,506.0,33.510000000000005,522,460,33,96,20,1,4,32,50,1,141,7,2,2,6,6,3,14
0,2022-04-23,TBA,120.0,99.0,59.0,50.0,42.0,131.0,15.0,7.0,451.0,18.0,2.0,1.0,9.0,1.0,2.0,500.0,28.59,521,466,63,117,27,4,11,61,48,2,126,2,0,5,6,8,2,14
0,2022-04-23,PIT,113.0,93.0,52.0,50.0,52.0,105.0,11.0,4.0,415.0,19.0,0.0,0.0,3.0,2.0,1.0,477.0,23.99,481,435,53,108,16,4,11,49,43,1,121,0,1,2,8,6,3,13
0,2022-04-23,MIL,113.0,91.0,48.0,43.0,53.0,123.0,9.0,7.0,425.0,14.0,0.0,0.0,4.0,2.0,0.0,490.0,27.44,458,405,44,80,20,2,10,41,44,1,112,5,0,4,7,6,3,13
0,2022-04-23,MIN,122.0,103.0,50.0,48.0,45.0,116.0,16.0,2.0,457.0,26.0,2.0,1.0,6.0,2.0,2.0,509.0,24.47,495,437,43,88,17,1,12,39,49,1,124,6,0,2,14,4,3,14
0,2022-04-23,NYA,127.67,100.0,38.0,35.0,50.0,140.0,9.0,6.0,468.0,22.0,0.0,3.0,3.0,2.0,0.0,530.0,32.89,520,458,43,101,19,0,13,39,48,2,125,7,3,3,11,7,2,14
