,Date,Team,IP_Pitch,H_Pitch,R_Pitch,ER_Pitch,BB_Pitch,SO_Pitch,HR_Pitch,HBP_Pitch,AB_Pitch,2B_Pitch,3B_Pitch,IBB_Pitch,SB_Pitch,CS_Pitch,PO_Pitch,BF_Pitch,GB/FB_Pitch,PA_Bat,AB_Bat,R_Bat,H_Bat,2B_Bat,3B_Bat,HR_Bat,RBI_Bat,BB_Bat,IBB_Bat,SO_Bat,HBP_Bat,SH_Bat,SF_Bat,GDP_Bat,SB_Bat,CS_Bat,Games
0,2022-04-24,HOU,105.33,89.0,48.0,44.0,47.0,98.0,11.0,9.0,384.0,17.0,1.0,1.0,5.0,6.0,0.0,448.0,18.26,432,384,30,71,11,1,7,29,39,2,93,4,1,3,7,2,3,12
0,2022-04-24,LAN,115.67,77.0,33.0,28.0,31.0,119.0,9.0,6.0,413.0,18.0,0.0,0.0,7.0,2.0,0.0,454.0,27.490000000000002,491,427,67,106,18,4,14,63,56,0,107,3,0,5,8,13,1,13
0,2022-04-24,TOR,123.0,106.0,47.0,45.0,33.0,118.0,11.0,4.0,458.0,22.0,0.0,0.0,6.0,0.0,1.0,500.0,31.1,517,470,49,116,20,0,18,48,32,3,119,8,1,5,8,7,2,14
0,2022-04-24,ATL,121.0,106.0,65.0,59.0,53.0,136.0,13.0,6.0,465.0,19.0,1.0,1.0,12.0,1.0,1.0,529.0,20.89,508,458,54,109,32,1,18,51,38,0,116,8,0,4,13,3,1,14
0,2022-04-24,PHI,121.0,113.0,69.0,66.0,50.0,115.0,10.0,12.0,453.0,24.0,6.0,1.0,6.0,3.0,0.0,526.0,28.91,516,460,55,116,26,2,14,54,41,0,112,8,1,6,16,3,0,14
0,2022-04-24,MIA,113.33,93.0,48.0,41.0,33.0,115.0,10.0,7.0,421.0,25.0,3.0,0.0,9.0,2.0,2.0,466.0,23.259999999999998,487,426,49,101,16,5,10,46,48,2,126,8,0,5,9,7,1,13
0,2022-04-24,KCR,106.0,112.0,61.0,60.0,41.0,92.0,9.0,4.0,412.0,21.0,5.0,0.0,4.0,0.0,0.0,460.0,20.969999999999995,420,390,36,86,12,3,10,33,26,0,83,4,0,0,9,9,1,12
0,2022-04-24,NYA,125.67,95.0,37.0,35.0,49.0,138.0,10.0,5.0,459.0,20.0,0.0,2.0,3.0,2.0,0.0,519.0,31.45,510,450,42,101,19,0,11,38,48,0,116,5,3,3,12,8,3,14
0,2022-04-24,ARI,115.0,97.0,56.0,45.0,47.0,87.0,11.0,5.0,422.0,17.0,2.0,3.0,6.0,3.0,0.0,488.0,26.339999999999996,494,424,43,86,21,1,13,42,56,2,128,6,2,6,5,7,3,12
0,2022-04-24,PIT,121.0,116.0,73.0,66.0,56.0,108.0,12.0,5.0,463.0,23.0,0.0,0.0,5.0,2.0,1.0,530.0,26.509999999999994,511,465,53,111,17,4,11,49,43,1,126,0,1,2,8,6,3,14
0,2022-04-24,TBA,120.0,94.0,60.0,50.0,44.0,123.0,14.0,6.0,450.0,16.0,3.0,1.0,10.0,1.0,2.0,501.0,27.99,520,468,64,112,28,4,12,61,47,2,131,2,0,3,7,9,2,14
0,2022-04-24,SEA,122.0,103.0,54.0,43.0,36.0,117.0,17.0,4.0,457.0,21.0,1.0,0.0,6.0,2.0,0.0,502.0,21.759999999999998,537,466,70,114,26,3,16,69,63,0,109,6,0,2,7,10,1,14
0,2022-04-24,LAA,115.0,81.0,50.0,44.0,43.0,107.0,9.0,5.0,424.0,12.0,0.0,3.0,12.0,3.0,0.0,477.0,23.009999999999998,493,429,65,107,20,1,20,62,54,1,131,4,2,4,8,12,8,13
0,2022-04-24,NYN,125.0,91.0,43.0,41.0,41.0,142.0,10.0,3.0,454.0,20.0,1.0,2.0,5.0,3.0,1.0,503.0,25.47,529,461,63,111,17,2,14,60,52,0,104,8,2,6,7,11,3,13
0,2022-04-24,TEX,115.0,113.0,66.0,62.0,51.0,122.0,21.0,11.0,440.0,24.0,2.0,0.0,11.0,2.0,2.0,508.0,33.540000000000006,495,446,63,105,18,0,10,59,40,2,105,3,0,6,5,9,5,13
0,2022-04-24,COL,117.0,133.0,63.0,58.0,39.0,87.0,11.0,4.0,459.0,23.0,3.0,2.0,1.0,1.0,4.0,506.0,27.93,490,435,62,118,23,2,14,57,37,0,103,9,3,6,10,3,2,12
0,2022-04-24,SFN,124.33,103.0,34.0,32.0,39.0,128.0,5.0,4.0,455.0,23.0,2.0,0.0,4.0,2.0,0.0,504.0,33.4,517,467,61,109,22,0,12,56,41,0,130,5,0,4,10,9,2,13
0,2022-04-24,CIN,109.0,119.0,73.0,72.0,58.0,104.0,14.0,11.0,424.0,24.0,4.0,1.0,14.0,5.0,0.0,499.0,25.89,448,405,27,69,15,0,8,26,36,0,125,6,0,0,7,4,3,13
0,2022-04-24,CHA,112.0,103.0,57.0,49.0,48.0,123.0,9.0,4.0,431.0,22.0,1.0,1.0,7.0,2.0,4.0,487.0,28.300000000000004,451,419,42,88,19,1,11,38,27,0,103,2,1,2,3,9,1,12
0,2022-04-24,SLN,105.0,91.0,37.0,35.0,36.0,101.0,9.0,5.0,393.0,16.0,1.0,1.0,7.0,1.0,0.0,436.0,22.119999999999997,453,403,50,97,18,1,10,48,40,0,92,6,1,2,10,11,1,12
0,2022-04-24,SDN,125.0,96.0,47.0,47.0,46.0,136.0,17.0,5.0,451.0,20.0,0.0,0.0,5.0,0.0,0.0,506.0,28.050000000000004,522,446,60,97,21,2,12,58,56,1,130,10,2,8,8,10,2,14
0,2022-04-24,CHN,120.0,109.0,57.0,56.0,45.0,118.0,15.0,2.0,451.0,23.0,5.0,0.0,7.0,3.0,2.0,500.0,26.459999999999997,529,465,76,127,28,2,11,70,53,2,110,7,1,3,17,4,2,14
0,2022-04-24,CLE,115.67,90.0,49.0,41.0,36.0,103.0,12.0,7.0,423.0,19.0,0.0,0.0,10.0,2.0,0.0,468.0,24.669999999999998,503,453,72,124,25,6,14,71,37,0,111,6,2,5,9,5,3,12
0,2022-04-24,WSN,130.0,130.0,76.0,71.0,60.0,124.0,14.0,6.0,504.0,22.0,2.0,1.0,8.0,6.0,3.0,576.0,31.650000000000002,554,492,55,113,23,0,8,54,47,2,115,5,4,3,9,1,3,14
0,2022-04-24,BOS,124.67,101.0,53.0,49.0,52.0,130.0,14.0,5.0,458.0,16.0,0.0,1.0,8.0,2.0,0.0,520.0,25.21,509,462,51,105,28,1,10,51,33,2,109,3,2,9,9,2,1,14
0,2022-04-24,MIL,122.0,98.0,51.0,46.0,54.0,130.0,9.0,7.0,456.0,16.0,1.0,0.0,5.0,2.0,0.0,523.0,28.860000000000003,494,440,49,89,21,2,11,45,45,1,121,5,0,4,7,8,4,14
0,2022-04-24,MIN,122.0,105.0,50.0,48.0,40.0,116.0,16.0,1.0,460.0,28.0,2.0,1.0,6.0,2.0,2.0,506.0,23.959999999999997,504,446,51,98,19,1,13,47,49,1,129,6,0,2,12,4,3,14
0,2022-04-24,OAK,132.67,115.0,51.0,46.0,43.0,124.0,14.0,6.0,496.0,25.0,2.0,4.0,2.0,5.0,5.0,548.0,29.58,543,494,62,105,24,1,12,55,42,1,135,5,0,2,9,8,0,15
0,2022-04-24,BAL,123.0,107.0,48.0,40.0,44.0,107.0,9.0,3.0,457.0,24.0,2.0,0.0,5.0,4.0,0.0,510.0,33.78,527,460,37,95,19,1,3,36,52,1,135,8,2,4,5,10,3,14
0,2022-04-24,DET,116.0,97.0,48.0,38.0,32.0,98.0,8.0,1.0,436.0,22.0,3.0,1.0,10.0,1.0,0.0,477.0,26.88,473,418,46,97,16,2,6,46,49,1,112,3,0,3,11,2,3,12
0,2022-04-25,LAA,115.0,88.0,56.0,50.0,46.0,114.0,11.0,5.0,429.0,15.0,0.0,3.0,13.0,3.0,0.0,485.0,22.189999999999998,500,431,70,108,19,1,19,67,58,1,123,6,1,4,9,12,7,13
0,2022-04-25,NYN,125.0,93.0,45.0,43.0,41.0,139.0,11.0,3.0,456.0,22.0,1.0,2.0,5.0,3.0,1.0,505.0,23.659999999999997,529,463,64,112,17,2,14,60,49,0,102,9,2,6,8,10,3,13
0,2022-04-25,HOU,107.33,93.0,53.0,48.0,45.0,98.0,11.0,9.0,396.0,19.0,1.0,1.0,5.0,4.0,0.0,458.0,18.139999999999997,444,393,38,80,16,1,9,36,42,2,98,3,2,3,7,1,3,12
0,2022-04-25,SFN,124.33,105.0,35.0,33.0,37.0,121.0,6.0,5.0,456.0,23.0,2.0,0.0,5.0,2.0,0.0,504.0,34.16,532,476,72,119,22,1,14,67,43,0,123,7,0,6,9,9,2,13
0,2022-04-25,TEX,115.0,109.0,64.0,60.0,55.0,125.0,21.0,9.0,435.0,24.0,2.0,1.0,11.0,3.0,2.0,504.0,32.16,493,443,60,100,18,0,10,56,41,2,106,3,0,6,4,9,5,13
0,2022-04-25,SLN,104.0,90.0,39.0,37.0,36.0,99.0,9.0,5.0,385.0,15.0,1.0,1.0,7.0,2.0,0.0,428.0,21.96,450,404,45,94,18,1,9,43,37,0,95,5,1,2,9,11,1,12
0,2022-04-25,ARI,115.0,97.0,57.0,45.0,45.0,89.0,12.0,7.0,425.0,17.0,2.0,3.0,6.0,2.0,0.0,490.0,25.23,495,426,43,87,21,1,13,42,55,2,127,6,2,6,4,7,3,12
0,2022-04-25,PHI,121.0,111.0,68.0,66.0,50.0,113.0,10.0,12.0,451.0,24.0,6.0,1.0,6.0,3.0,1.0,525.0,28.0,516,463,51,114,26,2,11,50,39,0,121,7,1,6,15,3,0,14
0,2022-04-25,CLE,114.67,97.0,58.0,51.0,37.0,109.0,15.0,8.0,426.0,24.0,0.0,0.0,10.0,2.0,0.0,474.0,24.04,503,452,74,125,24,7,14,73,39,0,111,5,2,5,8,5,3,12
0,2022-04-25,BOS,124.67,106.0,54.0,50.0,53.0,128.0,13.0,8.0,461.0,18.0,0.0,1.0,8.0,3.0,0.0,527.0,26.13,506,462,51,106,28,1,9,51,30,2,106,3,2,9,9,2,1,14
0,2022-04-25,TOR,123.33,108.0,52.0,46.0,37.0,122.0,13.0,4.0,461.0,26.0,0.0,0.0,6.0,0.0,1.0,508.0,30.719999999999995,523,477,52,117,22,0,19,51,33,3,124,6,0,6,8,7,2,14
0,2022-04-25,COL,117.0,133.0,63.0,58.0,42.0,84.0,10.0,4.0,458.0,24.0,3.0,2.0,1.0,1.0,4.0,508.0,29.46,495,440,65,121,25,2,14,60,38,0,98,8,3,6,10,4,3,12
0,2022-04-25,MIL,123.0,93.0,42.0,37.0,49.0,138.0,9.0,4.0,455.0,17.0,1.0,0.0,5.0,2.0,0.0,513.0,27.590000000000003,491,440,50,88,22,2,11,46,43,1,121,3,0,5,4,8,4,14
0,2022-04-25,LAN,116.67,77.0,32.0,27.0,31.0,115.0,8.0,6.0,414.0,18.0,1.0,0.0,7.0,2.0,0.0,455.0,28.7,499,428,75,107,18,4,16,71,60,0,108,4,0,7,8,13,1,13
0,2022-04-26,SLN,104.0,84.0,35.0,33.0,34.0,96.0,9.0,6.0,380.0,14.0,1.0,1.0,7.0,2.0,0.0,422.0,20.95,451,406,43,92,16,1,8,41,38,0,103,5,1,0,8,11,1,12
0,2022-04-26,NYN,126.0,93.0,43.0,43.0,43.0,146.0,10.0,3.0,460.0,22.0,1.0,2.0,5.0,2.0,1.0,510.0,23.09,530,466,67,114,18,2,14,62,46,0,100,10,2,6,8,9,3,13
0,2022-04-26,MIN,114.0,98.0,46.0,43.0,35.0,108.0,16.0,1.0,429.0,23.0,2.0,1.0,6.0,2.0,1.0,470.0,22.38,478,416,44,93,18,1,7,40,53,1,120,5,0,3,12,4,3,13
0,2022-04-26,HOU,106.33,97.0,58.0,52.0,47.0,97.0,10.0,10.0,398.0,20.0,1.0,1.0,5.0,4.0,0.0,463.0,18.55,443,394,36,81,16,1,10,35,40,1,101,3,2,3,7,3,3,12
0,2022-04-26,TOR,123.33,104.0,42.0,36.0,31.0,117.0,10.0,4.0,455.0,26.0,0.0,0.0,5.0,0.0,1.0,497.0,30.5,517,473,52,117,21,0,18,51,32,3,116,5,0,6,9,7,2,14
0,2022-04-26,WSN,121.0,129.0,81.0,76.0,55.0,114.0,14.0,7.0,476.0,21.0,3.0,1.0,5.0,6.0,3.0,546.0,31.67,526,465,54,111,25,0,8,53,46,2,104,6,3,3,9,2,2,13
0,2022-04-26,BOS,123.67,105.0,57.0,53.0,49.0,125.0,16.0,7.0,457.0,17.0,0.0,1.0,7.0,3.0,0.0,518.0,26.040000000000003,503,463,49,108,29,1,8,49,27,2,103,2,3,8,9,2,1,14
0,2022-04-26,OAK,124.67,109.0,46.0,41.0,38.0,117.0,10.0,5.0,470.0,24.0,2.0,4.0,2.0,5.0,4.0,516.0,27.34,506,456,58,96,22,1,12,51,44,2,124,4,0,2,8,8,1,14
0,2022-04-26,TBA,112.0,86.0,59.0,49.0,39.0,109.0,13.0,5.0,417.0,14.0,3.0,1.0,8.0,0.0,2.0,462.0,27.03,486,437,56,102,26,3,11,52,43,2,121,5,0,1,3,8,2,13
0,2022-04-26,CHN,111.0,106.0,56.0,54.0,44.0,109.0,12.0,0.0,424.0,24.0,5.0,0.0,9.0,3.0,2.0,471.0,27.39,490,439,66,123,30,2,11,61,44,4,100,4,1,2,18,3,1,13
0,2022-04-26,LAN,117.67,70.0,23.0,21.0,28.0,122.0,6.0,5.0,411.0,18.0,1.0,0.0,4.0,2.0,0.0,447.0,26.17,499,428,75,106,21,4,17,74,61,0,108,4,0,6,7,14,1,13
0,2022-04-26,PHI,121.0,107.0,66.0,64.0,49.0,110.0,11.0,12.0,445.0,23.0,6.0,1.0,6.0,3.0,1.0,518.0,28.38,522,468,58,120,28,2,11,55,39,0,122,7,1,7,15,3,0,14
0,2022-04-26,ARI,115.0,98.0,51.0,42.0,42.0,84.0,11.0,6.0,426.0,20.0,1.0,3.0,7.0,2.0,0.0,485.0,24.699999999999996,487,426,38,85,20,1,11,37,46,2,127,7,2,6,2,6,3,12
0,2022-04-26,NYA,116.67,91.0,33.0,31.0,44.0,128.0,8.0,4.0,428.0,17.0,1.0,2.0,3.0,2.0,0.0,480.0,26.740000000000002,479,422,45,99,22,0,12,41,44,0,111,5,3,4,11,8,3,13
0,2022-04-26,BAL,115.0,95.0,42.0,34.0,45.0,97.0,8.0,5.0,425.0,20.0,1.0,0.0,4.0,4.0,0.0,479.0,31.55,494,428,40,90,18,1,4,39,51,1,124,8,2,4,5,10,2,13
0,2022-04-26,KCR,98.0,95.0,49.0,46.0,42.0,82.0,8.0,2.0,372.0,19.0,3.0,2.0,5.0,0.0,0.0,420.0,20.930000000000003,397,367,36,82,13,3,11,33,27,0,87,3,0,0,9,10,1,11
0,2022-04-26,COL,116.0,132.0,67.0,61.0,43.0,85.0,11.0,4.0,457.0,25.0,3.0,2.0,1.0,1.0,4.0,508.0,30.1,488,436,58,116,26,2,14,55,37,0,100,7,3,5,12,1,3,12
0,2022-04-26,SFN,124.33,99.0,35.0,32.0,37.0,121.0,7.0,4.0,454.0,22.0,2.0,0.0,5.0,2.0,0.0,500.0,36.21,537,478,73,119,22,1,16,68,46,1,132,8,0,5,9,9,3,13
0,2022-04-26,CLE,113.67,98.0,58.0,51.0,38.0,110.0,17.0,7.0,422.0,22.0,1.0,0.0,10.0,2.0,0.0,471.0,23.99,482,432,57,106,22,5,12,56,39,0,105,4,2,5,9,5,3,12
0,2022-04-26,MIL,123.0,95.0,42.0,38.0,47.0,139.0,10.0,5.0,456.0,18.0,1.0,1.0,4.0,2.0,0.0,513.0,25.34,488,441,47,88,21,2,9,43,39,1,122,3,0,5,4,8,4,14
0,2022-04-26,SEA,117.0,98.0,45.0,37.0,35.0,107.0,10.0,3.0,434.0,23.0,1.0,0.0,8.0,2.0,0.0,477.0,21.82,509,439,67,108,23,3,15,66,61,2,104,6,0,3,7,10,1,13
0,2022-04-26,SDN,116.0,94.0,50.0,48.0,39.0,126.0,17.0,6.0,425.0,17.0,0.0,0.0,4.0,0.0,0.0,476.0,23.890000000000004,475,411,47,87,19,2,10,47,47,1,120,10,2,5,9,9,1,13
0,2022-04-26,ATL,112.0,107.0,63.0,57.0,52.0,129.0,12.0,6.0,438.0,23.0,2.0,1.0,11.0,1.0,1.0,501.0,19.439999999999998,479,430,53,101,31,1,17,50,40,0,113,6,0,3,13,3,1,13
0,2022-04-26,LAA,115.0,84.0,52.0,46.0,45.0,112.0,11.0,5.0,423.0,15.0,0.0,2.0,13.0,3.0,0.0,478.0,21.990000000000002,499,428,72,109,17,2,20,69,59,1,123,6,2,4,10,12,7,13
0,2022-04-26,MIA,105.33,89.0,48.0,42.0,38.0,110.0,11.0,7.0,394.0,25.0,3.0,0.0,9.0,2.0,2.0,444.0,21.95,459,396,50,96,19,6,10,48,51,2,115,7,0,5,8,8,1,12
0,2022-04-26,PIT,113.0,109.0,66.0,58.0,54.0,107.0,11.0,4.0,436.0,22.0,0.0,2.0,4.0,2.0,1.0,498.0,25.30999999999999,467,421,46,93,13,4,10,43,43,1,118,0,1,2,7,8,3,13
0,2022-04-26,CIN,101.0,111.0,69.0,68.0,53.0,97.0,12.0,9.0,397.0,22.0,4.0,1.0,15.0,5.0,0.0,463.0,25.65,408,369,24,67,15,0,7,23,32,0,111,6,0,1,8,2,4,12
0,2022-04-26,TEX,115.0,107.0,60.0,56.0,57.0,120.0,18.0,8.0,434.0,23.0,2.0,1.0,13.0,3.0,2.0,504.0,30.659999999999997,487,441,54,100,19,0,7,50,37,2,102,4,0,5,5,8,5,13
0,2022-04-26,DET,106.0,85.0,39.0,30.0,31.0,92.0,7.0,1.0,398.0,18.0,2.0,1.0,9.0,2.0,0.0,436.0,25.560000000000002,441,392,45,95,16,1,6,45,43,1,98,3,0,3,9,2,2,11
0,2022-04-26,CHA,103.33,103.0,60.0,51.0,48.0,117.0,11.0,4.0,408.0,21.0,0.0,1.0,7.0,1.0,5.0,465.0,25.419999999999998,411,381,31,74,12,0,11,27,27,0,99,2,0,1,5,8,1,11
0,2022-04-27,LAA,115.0,85.0,51.0,45.0,46.0,113.0,9.0,5.0,424.0,15.0,0.0,2.0,13.0,3.0,0.0,480.0,21.55,495,429,70,110,19,2,19,67,54,1,123,6,2,4,10,11,6,13
0,2022-04-27,TBA,112.0,83.0,54.0,39.0,38.0,107.0,9.0,5.0,414.0,15.0,3.0,1.0,8.0,0.0,2.0,460.0,28.2,490,437,58,103,25,3,13,54,47,2,120,5,0,1,4,8,2,13
0,2022-04-27,TEX,114.0,99.0,59.0,58.0,59.0,117.0,17.0,5.0,424.0,21.0,1.0,1.0,13.0,5.0,3.0,493.0,29.939999999999998,479,434,51,94,18,0,7,47,36,2,101,4,0,5,5,8,4,13
0,2022-04-27,PIT,122.0,123.0,78.0,68.0,57.0,114.0,13.0,4.0,476.0,23.0,1.0,3.0,6.0,3.0,1.0,541.0,27.020000000000003,512,460,54,106,18,4,10,51,47,1,126,0,1,4,7,8,3,14
0,2022-04-27,DET,106.33,86.0,43.0,32.0,36.0,97.0,7.0,1.0,396.0,18.0,2.0,1.0,9.0,2.0,0.0,439.0,25.75,443,394,46,95,16,1,6,46,44,1,98,3,0,2,11,2,2,11
0,2022-04-27,CLE,112.67,97.0,55.0,50.0,34.0,110.0,17.0,5.0,418.0,26.0,1.0,0.0,7.0,2.0,0.0,461.0,22.240000000000002,470,425,48,97,21,4,11,48,35,0,111,4,1,5,8,4,3,12
0,2022-04-27,WSN,121.0,134.0,84.0,78.0,56.0,117.0,15.0,7.0,481.0,23.0,3.0,1.0,7.0,6.0,3.0,552.0,31.950000000000003,512,455,45,104,24,0,7,44,43,2,100,5,3,3,11,4,1,13
0,2022-04-27,ARI,124.0,107.0,54.0,45.0,48.0,89.0,11.0,6.0,456.0,22.0,1.0,4.0,7.0,3.0,0.0,521.0,27.97,520,455,43,89,21,1,12,41,49,2,137,8,2,6,2,6,3,13
0,2022-04-27,SEA,118.0,97.0,45.0,37.0,37.0,111.0,12.0,3.0,437.0,20.0,1.0,0.0,7.0,2.0,0.0,481.0,22.04,518,446,75,116,25,4,15,72,60,2,105,7,0,4,7,9,1,13
