,Visitor,Home,Date,IP_Pitch_Visitor,H_Pitch_Visitor,R_Pitch_Visitor,ER_Pitch_Visitor,BB_Pitch_Visitor,SO_Pitch_Visitor,HR_Pitch_Visitor,HBP_Pitch_Visitor,AB_Pitch_Visitor,2B_Pitch_Visitor,3B_Pitch_Visitor,IBB_Pitch_Visitor,SB_Pitch_Visitor,CS_Pitch_Visitor,PO_Pitch_Visitor,BF_Pitch_Visitor,GB/FB_Pitch_Visitor,PA_Bat_Visitor,AB_Bat_Visitor,R_Bat_Visitor,H_Bat_Visitor,2B_Bat_Visitor,3B_Bat_Visitor,HR_Bat_Visitor,RBI_Bat_Visitor,BB_Bat_Visitor,IBB_Bat_Visitor,SO_Bat_Visitor,HBP_Bat_Visitor,SH_Bat_Visitor,SF_Bat_Visitor,GDP_Bat_Visitor,SB_Bat_Visitor,CS_Bat_Visitor,Games_Visitor,IP_Pitch_Home,H_Pitch_Home,R_Pitch_Home,ER_Pitch_Home,BB_Pitch_Home,SO_Pitch_Home,HR_Pitch_Home,HBP_Pitch_Home,AB_Pitch_Home,2B_Pitch_Home,3B_Pitch_Home,IBB_Pitch_Home,SB_Pitch_Home,CS_Pitch_Home,PO_Pitch_Home,BF_Pitch_Home,GB/FB_Pitch_Home,PA_Bat_Home,AB_Bat_Home,R_Bat_Home,H_Bat_Home,2B_Bat_Home,3B_Bat_Home,HR_Bat_Home,RBI_Bat_Home,BB_Bat_Home,IBB_Bat_Home,SO_Bat_Home,HBP_Bat_Home,SH_Bat_Home,SF_Bat_Home,GDP_Bat_Home,SB_Bat_Home,CS_Bat_Home,Games_Home,Home_Win
0,BAL,OAK,2022-04-19,80.0,68.0,33.0,26.0,32.0,66.0,3.0,2.0,295.0,17.0,2.0,0.0,2.0,4.0,0.0,334.0,22.91,343,295,21,61,12,1,3,21,41,1,96,3,2,1,3,4,1,9,87.67,81.0,35.0,31.0,32.0,82.0,12.0,2.0,335.0,19.0,2.0,4.0,1.0,1.0,3.0,370.0,20.31,374,337,53,75,14,1,10,46,31,1,92,4,0,2,7,5,0,10,1
0,ARI,WSN,2022-04-19,62.0,55.0,36.0,30.0,32.0,39.0,9.0,3.0,229.0,7.0,1.0,1.0,6.0,2.0,0.0,272.0,14.6,266,221,17,37,10,0,6,17,38,2,77,4,2,1,3,5,1,7,77.0,78.0,48.0,46.0,41.0,77.0,8.0,3.0,300.0,13.0,2.0,1.0,6.0,3.0,2.0,346.0,17.990000000000002,347,306,40,74,12,0,5,39,34,0,69,3,1,2,4,1,2,9,1
0,PIT,MIL,2022-04-19,79.0,71.0,38.0,38.0,40.0,65.0,7.0,3.0,293.0,15.0,0.0,0.0,2.0,2.0,1.0,341.0,15.13,340,306,41,82,14,3,6,37,31,1,76,0,1,2,4,4,2,9,87.0,72.0,40.0,35.0,46.0,87.0,7.0,7.0,329.0,13.0,0.0,0.0,4.0,2.0,0.0,387.0,20.880000000000003,357,315,33,64,16,2,6,30,36,1,83,4,0,2,7,5,3,10,1
0,NYA,DET,2022-04-19,81.67,60.0,24.0,22.0,32.0,90.0,7.0,4.0,301.0,12.0,0.0,1.0,3.0,0.0,0.0,342.0,21.58,327,289,24,66,14,0,7,22,29,0,77,5,2,1,10,2,1,9,71.0,68.0,36.0,29.0,16.0,53.0,5.0,1.0,275.0,18.0,3.0,1.0,5.0,0.0,0.0,298.0,13.879999999999995,282,250,23,49,10,1,5,23,28,0,70,2,0,2,7,1,1,8,0
0,ATL,LAN,2022-04-19,87.0,77.0,50.0,45.0,37.0,91.0,10.0,5.0,333.0,16.0,0.0,0.0,8.0,1.0,1.0,379.0,15.709999999999996,367,329,40,79,22,0,14,37,29,0,87,6,0,3,8,0,1,10,78.0,53.0,25.0,21.0,19.0,87.0,7.0,6.0,287.0,11.0,0.0,0.0,4.0,2.0,0.0,313.0,18.67,348,302,53,83,16,3,9,49,40,0,71,2,0,4,5,11,1,9,0
0,MIN,KCR,2022-04-19,79.0,74.0,41.0,39.0,30.0,71.0,11.0,1.0,305.0,20.0,1.0,1.0,6.0,1.0,1.0,341.0,16.23,326,286,36,57,12,0,11,33,34,1,93,4,0,1,6,4,2,9,63.0,66.0,40.0,40.0,23.0,57.0,7.0,3.0,244.0,11.0,3.0,0.0,2.0,0.0,0.0,272.0,11.799999999999995,251,233,22,50,4,2,5,21,15,0,45,3,0,0,4,8,0,7,1
0,LAA,HOU,2022-04-19,78.0,60.0,38.0,36.0,33.0,71.0,8.0,3.0,295.0,8.0,0.0,3.0,6.0,2.0,0.0,333.0,16.16,339,297,45,74,14,1,16,43,36,1,94,2,2,2,2,9,6,9,69.33,55.0,28.0,27.0,32.0,66.0,7.0,7.0,251.0,11.0,1.0,1.0,2.0,3.0,0.0,296.0,12.38,295,255,23,49,8,1,5,22,32,2,52,4,1,3,7,2,2,8,0
0,PHI,COL,2022-04-19,86.0,80.0,50.0,49.0,38.0,80.0,8.0,11.0,321.0,18.0,6.0,1.0,3.0,2.0,0.0,376.0,21.87,365,323,34,76,21,0,9,33,31,0,82,6,1,4,9,2,0,10,82.0,84.0,34.0,29.0,27.0,57.0,5.0,2.0,312.0,20.0,1.0,2.0,0.0,1.0,4.0,344.0,18.56,346,306,47,89,19,2,11,42,26,0,67,8,2,4,7,3,2,9,1
0,TBA,CHN,2022-04-19,88.0,72.0,47.0,38.0,31.0,98.0,12.0,5.0,330.0,13.0,1.0,1.0,8.0,1.0,2.0,366.0,19.52,379,340,44,84,19,2,7,43,34,2,94,2,0,3,5,6,2,10,78.0,70.0,35.0,35.0,31.0,77.0,10.0,2.0,291.0,12.0,2.0,0.0,3.0,2.0,1.0,326.0,16.080000000000002,344,303,43,84,21,1,9,40,33,2,73,5,1,2,14,1,2,9,0
0,TOR,BOS,2022-04-19,79.0,70.0,37.0,36.0,25.0,75.0,10.0,3.0,294.0,15.0,0.0,0.0,6.0,0.0,1.0,326.0,19.72,333,302,32,75,17,0,12,31,21,3,80,7,1,1,5,3,1,9,79.0,66.0,37.0,37.0,37.0,81.0,9.0,4.0,290.0,13.0,0.0,1.0,4.0,2.0,0.0,333.0,12.959999999999996,331,298,40,71,21,0,9,40,22,2,73,2,2,7,4,0,1,9,1
0,SLN,MIA,2022-04-19,61.0,59.0,29.0,28.0,21.0,59.0,6.0,2.0,237.0,12.0,1.0,1.0,5.0,0.0,0.0,262.0,11.53,265,234,34,59,13,0,9,34,24,0,49,3,1,2,5,3,1,7,69.33,60.0,31.0,28.0,24.0,72.0,6.0,4.0,259.0,17.0,1.0,0.0,4.0,2.0,1.0,291.0,13.46,298,258,34,62,12,5,6,32,30,1,73,6,0,4,6,1,1,8,0
0,TEX,SEA,2022-04-20,72.0,82.0,51.0,47.0,28.0,79.0,18.0,8.0,285.0,15.0,2.0,0.0,9.0,2.0,2.0,325.0,22.85,310,275,40,64,10,0,7,38,30,2,64,2,0,3,2,8,2,8,77.0,63.0,33.0,28.0,25.0,71.0,12.0,2.0,285.0,11.0,1.0,0.0,5.0,1.0,0.0,315.0,13.78,333,294,39,64,12,2,11,39,33,0,64,5,0,1,4,6,1,9,1
0,CIN,SDN,2022-04-20,74.0,85.0,56.0,55.0,37.0,77.0,12.0,5.0,296.0,16.0,4.0,0.0,8.0,5.0,0.0,342.0,16.58,314,285,24,49,13,0,8,23,25,0,87,4,0,0,2,3,2,9,88.0,73.0,37.0,37.0,32.0,95.0,13.0,4.0,324.0,17.0,0.0,0.0,3.0,0.0,0.0,363.0,19.66,375,323,45,72,15,2,9,43,39,0,103,8,1,4,4,6,1,10,1
0,BAL,OAK,2022-04-20,80.0,67.0,30.0,23.0,34.0,68.0,2.0,2.0,296.0,17.0,1.0,0.0,4.0,4.0,0.0,336.0,23.37,345,296,19,61,11,1,2,19,43,1,94,2,2,1,2,3,1,9,88.67,82.0,32.0,28.0,31.0,83.0,9.0,1.0,341.0,18.0,2.0,4.0,1.0,1.0,2.0,374.0,20.66,378,337,53,77,14,1,10,46,35,1,87,4,0,2,7,7,0,10,0
0,SFN,NYN,2022-04-20,80.33,64.0,21.0,19.0,26.0,82.0,1.0,4.0,291.0,16.0,2.0,0.0,4.0,0.0,0.0,325.0,22.4,335,300,41,70,16,0,9,37,29,0,83,3,0,3,7,7,1,8,80.0,56.0,26.0,24.0,31.0,93.0,6.0,2.0,288.0,14.0,0.0,2.0,3.0,3.0,1.0,324.0,18.56,335,287,42,65,11,1,10,40,35,0,62,7,2,4,6,9,1,8,0
0,PIT,MIL,2022-04-20,79.0,64.0,37.0,35.0,38.0,69.0,8.0,2.0,288.0,13.0,0.0,0.0,1.0,2.0,1.0,333.0,13.95,331,302,41,77,11,3,8,37,27,1,81,0,1,1,4,4,2,9,88.0,66.0,33.0,28.0,39.0,91.0,9.0,4.0,327.0,12.0,0.0,0.0,4.0,2.0,0.0,374.0,20.24000000000001,354,315,38,63,17,2,8,35,35,1,84,2,0,2,4,5,3,10,1
0,SLN,MIA,2022-04-20,61.0,58.0,28.0,27.0,19.0,62.0,7.0,2.0,236.0,10.0,1.0,1.0,5.0,0.0,0.0,258.0,11.15,265,235,33,57,13,1,8,32,23,0,48,3,1,2,6,4,1,7,69.33,63.0,35.0,31.0,25.0,64.0,6.0,5.0,262.0,18.0,2.0,0.0,6.0,2.0,1.0,296.0,15.19,299,260,33,65,11,5,7,32,29,1,69,6,0,4,5,1,1,8,0
0,ATL,LAN,2022-04-20,87.0,76.0,50.0,45.0,36.0,92.0,10.0,5.0,332.0,16.0,0.0,0.0,7.0,1.0,1.0,376.0,15.56,369,337,41,83,21,0,15,38,26,0,87,4,0,2,9,2,1,10,79.0,57.0,25.0,21.0,19.0,84.0,7.0,5.0,292.0,13.0,0.0,0.0,6.0,2.0,0.0,317.0,19.96,343,296,52,78,16,3,8,48,41,0,72,2,0,4,6,11,1,9,1
0,NYA,DET,2022-04-20,81.67,59.0,24.0,22.0,36.0,89.0,6.0,5.0,297.0,10.0,0.0,1.0,3.0,0.0,0.0,344.0,19.69,339,295,24,68,14,0,5,20,34,0,85,5,2,2,10,6,1,9,70.0,64.0,35.0,26.0,24.0,61.0,4.0,1.0,272.0,16.0,2.0,1.0,8.0,0.0,0.0,303.0,13.240000000000002,285,248,23,46,9,1,5,23,31,0,69,3,0,3,5,1,1,8,0
0,LAA,HOU,2022-04-20,78.0,64.0,40.0,37.0,34.0,72.0,9.0,2.0,299.0,10.0,0.0,3.0,5.0,3.0,0.0,338.0,15.09,349,306,50,81,16,1,14,48,37,1,94,2,1,3,3,10,5,9,70.33,62.0,33.0,32.0,33.0,66.0,5.0,7.0,260.0,13.0,1.0,1.0,3.0,2.0,0.0,306.0,12.07,300,259,25,53,10,1,6,24,33,2,53,3,1,3,6,1,3,8,0
0,PHI,COL,2022-04-20,85.0,83.0,54.0,54.0,41.0,74.0,9.0,11.0,321.0,17.0,6.0,1.0,3.0,2.0,0.0,381.0,22.61,368,328,35,80,20,1,7,34,29,0,80,6,1,4,12,2,0,10,82.0,88.0,37.0,32.0,29.0,53.0,5.0,3.0,312.0,21.0,2.0,2.0,0.0,1.0,4.0,347.0,20.67,348,304,50,89,18,2,11,45,29,0,63,7,3,5,7,3,2,9,0
0,CHA,CLE,2022-04-20,63.0,47.0,25.0,22.0,28.0,71.0,5.0,3.0,233.0,11.0,1.0,1.0,6.0,1.0,2.0,265.0,13.740000000000002,242,224,29,49,9,0,8,27,16,0,51,1,0,1,2,8,0,7,63.0,52.0,34.0,29.0,20.0,60.0,9.0,6.0,237.0,14.0,0.0,0.0,8.0,0.0,0.0,263.0,14.869999999999996,288,253,48,76,15,6,9,47,26,0,57,5,1,3,4,4,3,7,1
0,TBA,CHN,2022-04-20,87.0,69.0,49.0,40.0,34.0,94.0,12.0,5.0,328.0,12.0,2.0,1.0,7.0,1.0,2.0,367.0,21.93,385,346,45,86,21,2,7,44,35,2,95,2,0,2,3,6,2,10,78.0,76.0,41.0,41.0,32.0,73.0,11.0,0.0,298.0,15.0,3.0,0.0,3.0,2.0,1.0,332.0,16.27,337,302,39,79,21,2,10,36,30,2,71,3,1,1,14,1,2,9,0
0,TOR,BOS,2022-04-20,78.0,64.0,36.0,34.0,27.0,75.0,10.0,3.0,286.0,16.0,0.0,0.0,6.0,0.0,1.0,321.0,19.35,332,305,29,74,16,0,12,28,20,3,83,5,0,1,5,3,1,9,80.0,70.0,34.0,34.0,35.0,85.0,8.0,4.0,298.0,13.0,0.0,1.0,4.0,2.0,0.0,339.0,13.79,325,292,40,69,21,0,8,40,21,2,67,2,2,8,5,0,1,9,0
0,MIN,KCR,2022-04-20,78.0,74.0,41.0,39.0,29.0,71.0,13.0,1.0,301.0,19.0,1.0,1.0,5.0,1.0,0.0,336.0,17.189999999999998,331,290,36,62,15,1,9,33,36,1,84,3,0,1,6,4,2,9,62.0,70.0,43.0,43.0,26.0,52.0,7.0,2.0,246.0,13.0,4.0,0.0,2.0,0.0,0.0,276.0,12.05,251,232,25,53,6,2,8,24,16,0,49,3,0,0,4,7,0,7,1
0,TEX,SEA,2022-04-21,71.0,81.0,49.0,45.0,33.0,72.0,14.0,7.0,279.0,16.0,2.0,0.0,10.0,2.0,2.0,324.0,22.04,299,271,30,61,9,0,4,28,23,2,60,2,0,3,3,7,3,8,78.0,61.0,25.0,23.0,22.0,68.0,6.0,2.0,283.0,11.0,1.0,0.0,5.0,2.0,0.0,311.0,13.61,333,291,39,66,13,2,10,38,35,0,63,5,0,2,5,7,1,9,0
0,BAL,OAK,2022-04-21,81.0,63.0,22.0,15.0,30.0,71.0,1.0,3.0,297.0,15.0,1.0,0.0,3.0,3.0,0.0,333.0,23.460000000000004,342,295,20,60,11,1,2,19,39,1,88,4,2,1,3,2,1,9,88.67,84.0,32.0,27.0,29.0,83.0,8.0,3.0,343.0,20.0,2.0,4.0,1.0,2.0,2.0,376.0,21.03,374,335,49,75,13,1,9,42,33,1,90,4,0,2,7,7,0,10,1
0,SFN,NYN,2022-04-21,80.33,62.0,21.0,19.0,29.0,84.0,1.0,3.0,292.0,16.0,2.0,0.0,4.0,1.0,0.0,327.0,22.91,341,305,43,72,15,0,10,39,31,0,88,3,0,2,6,8,1,8,81.0,59.0,27.0,27.0,33.0,97.0,6.0,2.0,293.0,15.0,0.0,2.0,4.0,2.0,1.0,330.0,18.3,337,289,42,67,11,1,9,40,35,0,64,7,2,4,6,8,2,8,1
0,SLN,MIA,2022-04-21,61.0,48.0,19.0,18.0,18.0,63.0,6.0,3.0,227.0,7.0,1.0,1.0,6.0,0.0,0.0,249.0,12.12,263,235,31,55,11,1,8,30,23,0,51,3,1,0,6,6,1,7,70.33,62.0,34.0,31.0,26.0,67.0,7.0,5.0,264.0,16.0,2.0,0.0,8.0,2.0,1.0,298.0,14.54,297,258,31,59,10,5,7,30,30,1,71,6,0,3,4,2,1,8,1
0,CHA,CLE,2022-04-21,70.0,62.0,37.0,31.0,30.0,79.0,6.0,3.0,272.0,14.0,0.0,1.0,6.0,0.0,3.0,306.0,17.18,265,245,21,44,6,0,7,19,18,0,64,2,0,0,2,7,0,7,72.0,53.0,33.0,28.0,24.0,73.0,9.0,6.0,263.0,14.0,0.0,0.0,8.0,0.0,0.0,293.0,18.82,308,272,44,71,15,4,8,43,28,0,63,4,1,3,4,4,3,7,1
0,NYA,DET,2022-04-21,81.67,65.0,23.0,21.0,35.0,89.0,5.0,4.0,302.0,11.0,0.0,1.0,3.0,1.0,0.0,345.0,20.67,334,292,26,63,15,0,6,22,32,0,83,4,3,2,8,6,2,9,71.0,57.0,30.0,21.0,23.0,62.0,4.0,1.0,266.0,14.0,2.0,1.0,8.0,1.0,0.0,296.0,15.08,291,255,25,55,11,0,5,25,30,0,69,3,0,3,6,1,1,8,1
